headword	grammar	genitive	etymology
Α α	τό		
ἀάατος	ον		ἀάω
ἀᾱγής	ές		
ἀαδής	ές		for ἀ-ϝαδής
ἀακίδωτος	ον		ἀκίς
ἄακτος	ον		
ἄανθα	ἡ		
ἀάπλετος	ον		
ἄαπτος	ον		ἅπτομαι
ἀασι-φρονία	ἡ		
ἀασμός	ὁ		ἀάζω
ἀατήρ	ὁ	ῆρος	
ἄᾰτος	ον		ἄω
ἄᾱτος	ον		
ἀβάδιστος	ον		
ἀβᾰθής	ές		βάθος
ἄβαθρος	ον		
ἀβᾰκής	ές		βάζω
ἀβάκιον	τό		
ἀβᾰκίσκος	ὁ		
ἀβακοειδής	ές		
ἀβάκχευτος	ον		
ἀβακχίωτος	ον		
ἀβαμβάκευτος	ον		
ἄβαξ	ὁ	ᾰκος	
ἀβάπτιστος	ον		βαπτίζω
ἄβαπτος	ον		βάπτω
ἀβαρβάριστος	ον		
ἀβαρής	ές		βάρος
ἀβασάνιστος	ον		
ἀβασίλευτος	ον		
ἀβασκάνιστος	ον		
ἀβάσκᾰνος	ον		βασκαίνω
ἀβάσκαντος	ον		
ἀβάστακτος	ον		βαστάζω
ἄβᾰτος	ον		
ἀβᾰφής	ές		
ἀβδέλυκτος	ον		βδελύσσω
Ἀβδηρίτης	ὁ	ου	
ἄβδης	ὁ		
ἀβέβαιος	ον		
ἀβεβαιότης	ἡ	ητος	
ἀβέβηλος	ον		
ἀβελτέρειος	ον		
ἀβελτερία	ἡ		
ἀβελτεροκόκκυξ	ὁ	υγος	
ἀβέλτερος	ον		α, ον Pl.Phlb.48c
ἀβίαστος	ον		βιάζομαι
ἀβίβαστος	ον		
ἀβίβλης	ὁ	ου	
ἄβιος	ον		α intensive
ἀβίοτος	ον		
ἀβίωτος	ον		βιόω
ἀβλάβ-εια	ἡ		
ἀβλαβ-ής	ές		
ἀβλαβ-ία	ἡ		
ἄβλαπτος	ον		
ἄβλαστ-ος	ον		
ἀβλάστ-ητος	ον		
ἄβλαυτος	ον		βλαύτη
ἀβλεμής	ές		βλεμεαίνω
ἀβλεννής	ές		βλέννα
ἀβλέπτ-ημα	τό		
ἄβλεπτ-ος	ον		
ἀβλέφᾰρος	ον		
ἀβλεψία	ἡ		
ἀβλής	ὁ	ῆτος	βάλλω
ἄβλητος	ον		
ἀβληχής	ές		βληχή
ἀβληχρής	ές		
ἀβλοπία	ἡ		
ἀβοηθ-ησία	ἡ		
ἀβοήθ-ητος	ον		
ἀβόητος	ον		βοάω
ἀβολ-ητύς	ἡ	ύος	
ἀβολ-ήτωρ	ὁ	ορος	
ἀβόλλα	ἡ		
ἄβολος	ον		βολή
ἀβόρβορος	ον		
ἄβορος	ον		
ἀβοσκ-ής	ές		βόσκω
ἀβόσκ-ητος	ον		
ἄβοτος	ον		βόσκω
ἀβουκόλητος	ον		βουκολέω
ἀβούλευτος	ον		
ἀβούλ-ητος	ον		βούλομαι
ἀβουλ-ία	ἡ		
ἄβουλ-ος	ον		
ἀβούτης	ὁ	ου	βοῦς
ἅβρα	ἡ		
ἀβραμίδιον	τό		
ἀβραμύας	ὁ		
ἄβραχος	ον		
ἄβρεκτος	ον		
ἀβρῑθής	ές		
ἄβρικτος	ον		βρίζω
ἁβρο-βάτης	ὁ	ου	
ἁβρό-βιος	ον		
ἁβρο-βόστρυχος	ον		
ἁβρό-γοος	ον		
ἁβρό-δαις	ὁ		
ἁβρο-δίαιτα	ἡ		
ἁβρο-δίαιτος	ον		
ἁβρο-είμων	ον		εἷμα
ἁβρο-κόμης	ὁ	ου	
ἀβρόμιος	ον		
ἁβρομίτρης	ὁ	ου	
ἄβρομος	ον		α collect.
ἁβρο-πέδῑλος	ον		
ἁβρο-πενθής	ές		
ἁβρο-πέτηλος	ον		
ἁβρό-πηνος	ον		πήνη
ἁβρό-πλουτος	ον		
ἁβροσία	ἡ		
ἁβροστᾰγής	ές		στάζω
ἁβροσύνη	ἡ		
ἁβρόσφυρος	ον		
ἁβρότης	ἡ	ητος	
ἁβρότῑμος	ον		
ἀβροτίνη	ἡ		
ἀβροτόν-ινος	ον		
ἀβρότονον	τό		
ἄβροτος	ον		
ἁβροχαίτης	ὁ	ου	
ἀβροχ-ία	ἡ		
ἀβρόχ-ιστος	ον		
ἄβροχ-ος	ον		βρέχω
ἁβροχίτων	ὁ	ωνος	
ἁβρ-υντής	ὁ	οῦ	
ἅβρωμα	τό		
ἄβρωμος	ον		
Ἄβρων	ὁ	ωνος	
ἀ-βρώς	ὁ	ῶτος	
ἀ-βρωσία	ἡ		
ἄ-βρωτος	ον		βιβρώσκω
Ἄβῡδος	ἡ		
ἀβύθητος	ον		
ἄβυθος	ον		
ἀβύρσευτος	ον		
ἀβυρτ-άκη	ἡ		
ἄβυσσος	ον		
ἀβωλόκοπος	ον		
ἄβωλος	ον		
ἀγαθείκελος	ον		
ἀγαθίδιον	τό		
ἀγαθο-γονία	ἡ		
ἀγαθο-δαίμων	ὁ	ονος	
ἀγαθο-δοσία	ἡ		δόσις
ἀγαθο-δότης	ἡ	ου	
ἀγαθο-ειδής	ές		
ἀγαθο-εργασία	ἡ		
ἀγαθο-εργία	ἡ		
ἀγαθο-θέλεια	ἡ		
ἀγαθο-θελής	ές		
ἀγαθο-ποίησις	ἡ		
ἀγαθο-ποιία	ἡ		
ἀγαθότης	ἡ	ητος	
ἀγαθο-φανής	ές		
ἀγαθο-φόρος	ον		
ἀγαθό-φρων	ον		φρήν
ἀγάθ-υνσις	ἡ		
ἀγάθωμα	τό		
ἀγαθωσύνη	ἡ		
ἀγα-κλεής	ές		
ἀγᾰλακτία	ἡ		
ἀγάλακτος	ον		α priv., γάλα
ἀγάλαξ	ὁ	ακτος	
ἀγαλλί-ᾱμα	τό		
ἀγαλλί-ᾱσις	ἡ	εως	
ἀγαλλίς	ἡ	ίδος	
ἄγαλμα	τό	ατος	
ἀγαλμ-ατίας	ὁ	ου	
ἀγαλμ-άτιον	τό		
ἀγαλμ-ατίτης	ὁ		
ἀγαλματο-γλύφος	ὁ		
ἀγαλματοποιητι-κή	ἡ		
ἀγαλματο-ποιΐα	ἡ		
ἀγαλματο-ποιός	ὁ		
ἀγαλματ-ουργία	ἡ		
ἀγαλματο-φόρος	ον		
ἀγαλματο-φώρας	ὁ		
ἀγαλμο-ειδής	ές		
ἀγάλοχον	τό		
ἄγαλσις	ἡ		
Ἀγαμέμνων	ὁ	ονος	
Ἀγαμεμν-ονίδης	ὁ	ου	
ἀγάμ-ετος	ον		
ἀγαμ-ία	ἡ		
ἄγαμ-ος	ον		
ἀγᾰνάκτ-ησις	ἡ	εως	
ἀγάννῐφος	ον		
ἀγᾰνοβλέφαρος	ον		
ἀγανόμματος	ον		
ἄγᾰνος	ον		ἄγνυμι
ἀγανο-φροσύνη	ἡ		
ἀγανό-φρων	ον		
ἀγανῶπις	ἡ	ιδος	ὤψ
ἀγάνωτος	ον		γᾰνόω
ἀγάπ-η	ἡ		
ἀγάπ-ημα	τό		
ἀγαπ-ήνωρ	ὁ	ορος	
ἀγάπ-ησις	ἡ	εως	
ἀγαπ-ησμός	ὁ		
ἀγαπ-ητέος	ον		
ἀγᾰρῐκόν	τό		
ἄγαρρις	ἡ		ἀγείρω
ἀγάρροος	ον		ῥέω
ἀγασθενής	ές		σθένος
ἄγασις	ἡ		
ἄγασμα	τό		ἄγαμαι
ἀγάστονος	ον		
ἀγάστωρ	ὁ	ορος	α copul., γαστήρ, cf. ἀδελφός
ἀγασυλλίς	ἡ	ίδος	
ἀγάσυρτος	ὁ		σύρω
ἀγαυρ-ίᾱμα	τό		
ἀγαύρισμα	τό		
ἀγάφθεγκτος	ον		φθέγγομαι
ἀγγᾰρ-εία	ἡ		
ἀγγᾰρ-ευτής	ὁ	οῦ	
ἀγγᾰρ-ήιος	ὁ		
ἄγγᾰρος	ὁ		
ἀγγείδιον	τό		
ἀγγεῖον	τό		
ἀγγειοτομία	ἡ		
ἀγγελία	ἡ		ἄγγελος
ἀγγελια-φόρος	ον		
ἀγγελιώτης	ὁ	ου	
ἄγγελμα	τό		
ἄγγελος	ὁ		
ἀγγέλτειρα	ἡ		
ἀγγοθήκη	ἡ		
ἄγγος	τό	εος	
ἄγγων	ὁ	ωνος	
ἀγέγωνος	ον		
ἄγεθλον	τό		ἄγω
ἄγειος	ον		γῆ
ἀγείρᾰτος	ον		
ἀγείσωτος	ον		
ἀγείτων	ον		
ἀγελαῖος	ον		ἀγέλη
ἀγελαιο-τροφία	ἡ		
ἀγελαιο-τρόφος	ον		
ἀγελαιών	ὁ	ῶνος	τὰ ἀγελαῖα
ἀγελ-άρχης	ὁ	ου	ἄρχω
ἀγελ-αρχία	ἡ		
ἀγέλασμα	τό	ατος	
ἀγέλαστος	ον		γελάω
ἀγελάτης	ὁ	ου	
ἀγελείη	ἡ		
ἀγέλ-η	ἡ		ἄγω
ἀγελ-ηΐς	ἡ	ίδος	
ἀγελ-ηκόμος	ον		
ἀγελ-ήτης	ὁ	ου	
ἀγελ-ητρόφος	ὁ		
ἀγελ-ισμός	ὁ		
ἀγέλοιος	ον		
ἄγελος	ὁ	ου	
ἀγέμιστος	ον		
ἀγενεᾱλόγητος	ον		
ἀγένεια	ἡ		ἀγενής
ἀγένειος	ον		γένειον
ἀγεν-ής	ές		γενέσθαι
ἀγεν-ησία	ἡ		
ἀγέν-ητος	ον		γενέσθαι
ἀγενν-ής	ές		γέννα
ἀγενν-ησία	ἡ		
ἀγένν-ητος	ον		
ἀγέραστος	ον		γέραJ
ἀγερ-μός	ὁ		
ἀγερ-μοσύνη	ἡ		
ἀγερ-σῐκύβηλις	ὁ		
ἄγερ-σις	ἡ	εως	
ἀγέρ-της	ὁ		
ἀγερ-ωχία	ἡ		
ἀγέρ-ωχος	ον		
ἀγέστρατος	ὁ		
ἀγευστία	ἡ		
ἄγευστος	ον		γεύομαι
ἀγεωμέτρητος	ον		
ἀγεωργ-ησία	ἡ		
ἀγεώργ-ητος	ον		
ἄγη	ἡ		ἄγαμαι
ἀγή	ἡ		ἄγνυμι
ἀγή	ἡ		ἄγω
ἀγηθής	ές		
ἀγήλᾰτος	ον		ἄγος, ἐλαύνω
ἄγημα	τό		
ἀγηνόρειος	ον		
ἀγην-ορία	ἡ		
ἀγήν-ωρ	ὁ	ορος	ἀγα-, ἀνήρ
ἀγήραντος	ον		
ἀγήραος	ον		
ἀγηρασία	ἡ		
ἀγήρατον	τό		
ἀγήρᾰτος	ον		
ἀγήρατος	ὁ		
ἁγής	ές		
Ἀγήσανδρος	ὁ		
ἀγησί-λᾱος	ον		
ἀγησί-χορος	ον		
Ἀγήτωρ	ὁ		
ἁγί-ασμα	τό	ατος	
ἁγι-ασμός	ὁ	οῦ	
ἁγι-αστήριον	τό		
ἁγι-αστία	ἡ		
ἁγι-αφόρος	ον		
ἀγίγαρτος	ον		
ἁγιο-λόγος	ον		
ἅγιος	ον		
ἁγιότης	ἡ	ητος	
ἁγ-ισμός	ὁ	οῦ	
ἁγ-ιστεία	ἡ		
ἁγ-ίστευμα	τό		
ἁγ-ιστήριον	τό		
ἁγ-ιστύς	ἡ	ύος	
ἁγιωσύνη	ἡ		
ἀγκάλη	ἡ		
ἀγκαλίδη	ἡ		
ἀγκᾰλ-ίς	ἡ		
ἀγκά̆λ-ισμα	τό	ατος	
ἀγκᾰλ-ισμός	ὁ		
ἄγκᾰλ-ος	ὁ		
ἀγκή	ἡ		
ἀγκιστρ-εία	ἡ		
ἀγκίστρ-ιον	τό		
ἀγκιστρό-δετος	ον		
ἀγκιστρο-ειδής	ές		
ἄγκιστρον	τό		ἄγκος
ἀγκιστρο-πώλης	ὁ	ου	
ἀγκιστρο-φάγος	ον		φᾰγεῖν
ἀγκλάριον	τό		
ἀγκλίνω	τό		
ἄγκοινα	ἡ		ἀγκον-yă, cf. ἀγκών
ἄγκος	τό	εος	
ἀγκοτύλη	ἡ		
ἄγκτειρα	ἡ		
ἀγκτήρ	ὁ	ῆρος	ἄγχω
ἀγκυλένδετος	ον		
ἀγκύλ-η	ἡ		ἄγκος
ἀγκύλ-ιον	τό		
ἀγκυλ-ίς	ἡ	ίδος	
ἀγκῠλο-βλέφαρον	τό		
ἀγκῠλό-γλωσσον πάθος	τό		
ἀγκῠλο-γλώχιν	ὁ	ῑνος	
ἀγκῠλό-δειρος	ον		
ἀγκῠλόδους	ὁ	οντος	
ἀγκυλοειδής	ές		
ἀγκυλό-κυκλος	ον		
ἀγκυλό-κωλος	ον		
ἀγκυλο-μαχία	ἡ		
ἀγκυλό-μητις	ὁ	ιος	
ἀγκυλό-πους	ὁ		
ἀγκύλος	ον		ἄγκος
ἀγκῠλό-τοξος	ον		
ἀγκῠλο-χείλης	ὁ	ου	χεῖλος
ἀγκῠλο-χήλης	ὁ	ου	χηλή
ἀγκύλ-ωμα	τό		
ἀγκύλ-ωσις	ἡ		
ἄγκῡρα	ἡ		v. ἄγκοινα
ἀγκῡρηβόλιον	τό		
ἀγκύριον	τό		
ἀγκύρ-ισμα	τό		
ἀγκῡρο-βόλιον	τό		
ἀγκῡρο-ειδής	ές		
ἀγκῡρό-μαχος	ὁ		
ἀγκῡρο-μήλη	ἡ		
ἀγκῡρουχία	ἡ		ἔχω
ἀγκών	ὁ	ῶνος	
ἀγκών-η	ἡ		
ἀγκών-ιον	τό		
ἀγκων-ίσκιον	τό		
ἀγκων-ίσκος	ὁ		
ἀγκων-ισμός	ὁ	οῦ	
ἀγκωνο-ειδής	ές		
ἀγκωνο-φόρος	ὁ		
ἀγλαέθειρος	ον		
ἀγλα-ΐα	ἡ		ἀγλαός
ἀγλά-ϊσμα	τό		
ἀγλα-ϊσμός	ὁ		
ἀγλαό-γυιος	ον		
ἀγλαό-δενδρος	ον		
ἀγλαό-δωρος	ον		
ἀγλαό-θρονος	ον		
ἀγλαό-θῡμος	ον		
ἀγλαό-καρπος	ον		καρπός A
ἀγλαό-κουρος	ον		
ἀγλαό-κωμος	ον		
ἀγλαο-μειδής	ές		
ἀγλαό-μητις	ὁ	ιος	
ἀγλαό-μορφος	ον		
ἀγλαό-παις	ὁ		
ἀγλαό-πεπλος	ον		
ἀγλαό-πιστος	ον		
ἀγλαό-τῑμος	ον		
ἀγλαο-τρίαινᾰ	ὁ		
ἀγλαό-φαντον	τό		
ἀγλαο-φεγγής	ές		
ἀγλαό-φημος	ον		
ἀγλαό-φοιτος	ον		
ἀγλαό-φορτος	ον		
ἀγλαό-φωνος	ον		
ἀγλαο-φῶτις	ἡ	ιδος	
ἀγλαό-χαρτος	ον		
ἄγλαυρος	ον		
ἀγλαώψ	ὁ	ῶπος	
ἀγλευκής	ές		γλεῦκος
ἀγλίη	ἡ		
ἀγλιθάριον	τό		
ἄγλισχρος	ον		
ἀγλῠκής	ές		
ἄγλῠφος	ον		
ἀγλωσσία	ἡ		
ἄγλωσσος	ον		
ἄγμα	τό		ἄγνυμι
ἀγμός	ὁ		ἄγνυμι
ἁγνάκορος	ὁ		
ἀγναμπτοπόλεμος	ον		
ἄγναμπτος	ον		
ἄγναπτος	ον		
ἄγνᾰφος	ον		γνάπτω
ἁγν-εία	ἡ		
ἅγν-ευμα	τό		
ἁγν-ευτήριον	τό		
ἁγν-εύτρια	ἡ		
ἁγνεών	ὁ	ῶνος	
ἁγνιασμός	ὁ		
ἄγνινος	ον		
ἅγν-ισμα	τό		
ἁγν-ισμός	ὁ		
ἁγν-ιστέος	ον		
ἁγν-ιστήριον	τό		
ἁγν-ιστής	ὁ	οῦ	
ἁγν-ίτης	ὁ	ου	
ἀγνό-ημα	τό		
ἀγνό-ησις	ἡ		
ἄγνοιᾰ	ἡ		v. γιγνώσκω
ἀγνό-κοκκος	ὁ		
ἁγνο-πόλος	ον		qu̯el-, cf. τελέω
ἁγνό-ρῠτος	ον		
ἄγνος	ἡ		
ἁγνό-στομος	ον		
ἁγνο-σύνη	ἡ		
ἁγνο-τελής	ές		
ἁγνότης	ἡ	ητος	ἁγνός
ἄγνυον	τό		
ἀγνύς	ἡ		
ἀγνωμ-οσύνη	ἡ		
ἀγνώμ-ων	ον		γνώμη
ἀγνώριστος	ον		
ἀγνώς	ὁ	ῶτος	γνῶ-ναι
ἀγνωσία	ἡ		
ἄγνωστος	ον		
ἀγνωτίδιον	τό		
ἄγνωτος	ον		
ἄγξις	ἡ		ἄγχω
ἀγόγγυστος	ον		
ἀγοήτευτος	ον		
ἀγόμφιος	ον		
ἀγόνᾰτος	ον		γόνυ
ἀγον-ία	ἡ		
ἄγον-ος	ον		γονή
ἄγοος	ον		
ἀγορά	ἡ	ῆς	ἀγείρω
ἀγοραῖος	ον		
ἀγορᾱ-νομία	ἡ		
ἀγορᾱ-νόμιον	τό		
ἀγορᾱ-νόμιος	ον		
ἀγορᾱ-νόμος	ὁ		
ἀγορ-ᾰσία	ἡ		
ἀγόρ-ᾰσις	ἡ	εως	
ἀγόρ-ασμα	τό		
ἀγορ-ασμός	ὁ		
ἀγορ-αστής	ὁ	οῦ	
ἀγορ-άστρια	ἡ		
ἀγορ-ατρός	ὁ		
ἀγορ-ᾶχος	ἡ		
ἀγόρ-ευσις	ἡ		
ἀγορ-ευτήριον	τό		
ἀγορ-ευτής	ὁ	οῦ	
ἀγορ-ηγός	ἡ		
ἀγορ-ητής	ὁ	οῦ	
ἀγορ-ητύς	ἡ	ύος	
ἄγορος	ὁ		
ἀγός	ὁ	οῦ	ἄγω
ἄγος	τό	εος	
ἄγος	τό	εος	ἄγνυμι
ἀγοστός	ὁ		
ἄγουρος	ὁ		
ἄγρα	ἡ		
ἀγραῖος	ον		ἄγρα
ἀγραμμ-ᾰτία	ἡ		
ἀγράμμ-ᾰτος	ον		
ἄγραμμ-ος	ον		
ἄγραπτος	ον		
ἀγρ-αυλής	ές		
ἀγρ-αυλία	ἡ		
ἄγρ-αυλος	ον		ἀγρός, αὐλή
ἀγραφ-ής	ές		
ἄγραφ-ος	ον		
ἀγρεῖος	ον		ἀγρός
ἀγρειοσύνη	ἡ		
ἀγρεῖφνα	ἡ		
ἀγρέμιον	τό		
ἀγρεμών	ὁ	όνος	
ἀγρεσία	ἡ		
ἀγρέτης	ὁ		
ἄγρ-ευμα	τό		
ἀγρ-εύς	ὁ	έως	
ἀγρ-εύσιμος	ον		
ἄγρ-ευσις	ἡ	εως	
ἀγρ-ευτήρ	ὁ	ῆρος	
